
> dragonfly-ts@1.0.0 server /Users/bwh/Workspaces/js/ts-test
> ts-node -r tsconfig-paths/register --project config/server/tsconfig.json src/server/main.ts

[2020-07-09T04:45:42.838Z] [debug] LogManager initialized
[2020-07-09T04:45:42.842Z] [debug] NetworkManager initialized
[2020-07-09T04:45:42.842Z] [debug] ChatManager initialized
[2020-07-09T04:45:42.849Z] [info] listening on port 8080
[2020-07-09T04:45:42.849Z] [debug] TimerManager initialized
[2020-07-09T04:45:48.789Z] [debug] read file: ./static/index.html
[2020-07-09T04:45:48.827Z] [debug] read file: static/style.css (text/css)
[2020-07-09T04:45:48.835Z] [debug] read file: build/client/bundle.js (application/javascript)
[2020-07-09T04:45:48.866Z] [debug] accepted connection on socket 0
[2020-07-09T04:45:48.960Z] [debug] waking timer
[2020-07-09T04:45:54.578Z] [debug] dt: 0.017946594045497477
[2020-07-09T04:45:54.597Z] [debug] dt: 0.01929877500515431
[2020-07-09T04:45:54.616Z] [debug] dt: 0.018108738004229963
[2020-07-09T04:45:54.636Z] [debug] dt: 0.02004690800094977
[2020-07-09T04:45:54.655Z] [debug] dt: 0.01887708599679172
[2020-07-09T04:45:54.672Z] [debug] dt: 0.016993927012663335
[2020-07-09T04:45:54.692Z] [debug] dt: 0.019401237019337714
[2020-07-09T04:45:54.709Z] [debug] dt: 0.01708943204721436
[2020-07-09T04:45:54.726Z] [debug] dt: 0.016718424041755497
[2020-07-09T04:45:54.746Z] [debug] dt: 0.018816152994986624
[2020-07-09T04:45:54.763Z] [debug] dt: 0.01727495703380555
[2020-07-09T04:45:54.780Z] [debug] dt: 0.01664212899049744
[2020-07-09T04:45:54.797Z] [debug] dt: 0.016737518017180264
[2020-07-09T04:45:54.816Z] [debug] dt: 0.017278661020100117
[2020-07-09T04:45:54.832Z] [debug] dt: 0.016436417994555086
[2020-07-09T04:45:54.851Z] [debug] dt: 0.018021168012637645
[2020-07-09T04:45:54.868Z] [debug] dt: 0.0172687079757452
[2020-07-09T04:45:54.889Z] [debug] dt: 0.02028792497003451
[2020-07-09T04:45:54.906Z] [debug] dt: 0.016313939006067812
[2020-07-09T04:45:54.926Z] [debug] dt: 0.01905731501756236
[2020-07-09T04:45:54.943Z] [debug] dt: 0.017225448973476887
[2020-07-09T04:45:54.963Z] [debug] dt: 0.019076780998148024
[2020-07-09T04:45:54.980Z] [debug] dt: 0.017429615021683276
[2020-07-09T04:45:54.997Z] [debug] dt: 0.016691523022018373
[2020-07-09T04:45:55.015Z] [debug] dt: 0.017222297028638422
[2020-07-09T04:45:55.034Z] [debug] dt: 0.018500442034564912
[2020-07-09T04:45:55.053Z] [debug] dt: 0.01942691602744162
